record.number,number.helminths,species
1,32,Bufo.americanus
2,0,Bufo.americanus
3,28,Bufo.americanus
4,1,Bufo.americanus
5,26,Bufo.americanus
6,31,Bufo.americanus
7,60,Bufo.americanus
8,63,Bufo.americanus
9,58,Bufo.americanus
10,40,Bufo.americanus
11,51,Bufo.americanus
12,17,Bufo.americanus
13,24,Bufo.americanus
14,96,Bufo.americanus
15,28,Bufo.americanus
16,62,Bufo.americanus
17,76,Bufo.americanus
18,5,Bufo.americanus
19,11,Bufo.americanus
20,87,Bufo.americanus
21,50,Bufo.americanus
22,20,Bufo.americanus
23,34,Bufo.americanus
24,78,Bufo.americanus
25,78,Bufo.americanus
26,8,Bufo.americanus
27,62,Bufo.americanus
28,49,Bufo.americanus
29,9,Bufo.americanus
30,29,Bufo.americanus
31,4,Rana.pipiens
32,2,Rana.pipiens
33,1,Rana.pipiens
34,2,Rana.pipiens
35,4,Rana.pipiens
36,8,Rana.pipiens
37,2,Rana.pipiens
38,8,Rana.pipiens
39,3,Rana.pipiens
40,9,Rana.pipiens
41,1,Rana.pipiens
42,4,Rana.pipiens
43,6,Rana.pipiens
44,11,Rana.pipiens
45,7,Rana.pipiens
46,0,Rana.pipiens
47,0,Rana.pipiens
48,4,Rana.pipiens
49,6,Rana.pipiens
50,2,Rana.pipiens
51,7,Rana.pipiens
52,5,Rana.pipiens
53,8,Rana.pipiens
54,7,Rana.pipiens
55,7,Rana.pipiens
56,9,Rana.pipiens
57,11,Rana.pipiens
58,5,Rana.pipiens
59,9,Rana.pipiens
60,2,Rana.pipiens
61,7,Rana.pipiens
62,1,Ambystoma.laterale
63,3,Ambystoma.laterale
64,6,Ambystoma.laterale
65,2,Ambystoma.laterale
66,7,Ambystoma.laterale
67,4,Ambystoma.laterale
68,1,Ambystoma.laterale
69,3,Ambystoma.laterale
70,2,Ambystoma.laterale
71,3,Ambystoma.laterale
72,5,Ambystoma.laterale
73,3,Ambystoma.laterale
74,5,Ambystoma.laterale
75,6,Ambystoma.laterale
76,4,Ambystoma.laterale
77,4,Ambystoma.laterale
78,2,Ambystoma.laterale
79,4,Ambystoma.laterale
80,3,Ambystoma.laterale
81,4,Ambystoma.laterale
82,3,Ambystoma.laterale
83,3,Ambystoma.laterale
84,1,Ambystoma.laterale
85,7,Ambystoma.laterale
86,2,Ambystoma.laterale
87,3,Ambystoma.laterale
88,3,Ambystoma.laterale
89,6,Ambystoma.laterale
90,7,Ambystoma.laterale
91,1,Ambystoma.laterale
92,2,Ambystoma.laterale
93,5,Ambystoma.laterale
94,1,Ambystoma.laterale
95,6,Ambystoma.laterale
96,1,Ambystoma.laterale
97,0,Ambystoma.laterale
98,6,Ambystoma.laterale
99,3,Ambystoma.laterale
100,3,Ambystoma.laterale
101,0,Ambystoma.laterale
102,5,Ambystoma.laterale
103,5,Ambystoma.laterale
104,2,Ambystoma.laterale
105,2,Ambystoma.laterale
106,8,Ambystoma.laterale
107,0,Ambystoma.laterale
108,1,Ambystoma.laterale
109,2,Ambystoma.laterale
110,3,Ambystoma.laterale
111,8,Ambystoma.laterale
112,5,Ambystoma.laterale
